time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-11-01 00:00:00+00:00,238,11,491,157
2024-11-02 00:00:00+00:00,11,7,320,97
2024-11-03 00:00:00+00:00,14,3,393,102
2024-11-04 00:00:00+00:00,208,13,747,204
2024-11-05 00:00:00+00:00,316,11,961,238
2024-11-06 00:00:00+00:00,91,10,1053,211
2024-11-07 00:00:00+00:00,134,15,726,211
2024-11-08 00:00:00+00:00,116,14,859,233
2024-11-09 00:00:00+00:00,43,7,303,83
2024-11-10 00:00:00+00:00,12,7,336,93
2024-11-11 00:00:00+00:00,430,9,870,201
2024-11-12 00:00:00+00:00,299,14,1088,233
2024-11-13 00:00:00+00:00,368,19,1025,210
2024-11-14 00:00:00+00:00,259,11,582,174
2024-11-15 00:00:00+00:00,60,12,895,193
2024-11-16 00:00:00+00:00,55,8,453,94
2024-11-17 00:00:00+00:00,40,5,380,105
2024-11-18 00:00:00+00:00,40,5,867,220
2024-11-19 00:00:00+00:00,189,8,768,234
2024-11-20 00:00:00+00:00,311,11,902,224
2024-11-21 00:00:00+00:00,152,11,647,182
2024-11-22 00:00:00+00:00,105,11,754,196
2024-11-23 00:00:00+00:00,5,5,208,81
2024-11-24 00:00:00+00:00,16,4,300,65
2024-11-25 00:00:00+00:00,276,15,834,217
2024-11-26 00:00:00+00:00,239,13,988,208
2024-11-27 00:00:00+00:00,344,22,718,189
2024-11-28 00:00:00+00:00,303,10,593,189
2024-11-29 00:00:00+00:00,97,6,691,162
2024-11-30 00:00:00+00:00,528,4,639,94
2024-12-01 00:00:00+00:00,101,5,280,81
2024-12-02 00:00:00+00:00,219,13,883,204
2024-12-03 00:00:00+00:00,306,17,1024,203
2024-12-04 00:00:00+00:00,235,14,903,222
2024-12-05 00:00:00+00:00,68,15,836,201
2024-12-06 00:00:00+00:00,136,3,401,154
2024-12-07 00:00:00+00:00,10,8,340,103
2024-12-08 00:00:00+00:00,50,3,313,104
2024-12-09 00:00:00+00:00,140,11,621,192
2024-12-10 00:00:00+00:00,177,12,717,204
2024-12-11 00:00:00+00:00,266,11,823,213
2024-12-12 00:00:00+00:00,219,8,770,227
2024-12-13 00:00:00+00:00,255,11,1833,187
2024-12-14 00:00:00+00:00,28,5,364,85
2024-12-15 00:00:00+00:00,95,7,352,84
2024-12-16 00:00:00+00:00,394,8,759,197
2024-12-17 00:00:00+00:00,14,6,603,190
2024-12-18 00:00:00+00:00,123,13,747,203
2024-12-19 00:00:00+00:00,39,19,786,199
2024-12-20 00:00:00+00:00,97,7,577,168
2024-12-21 00:00:00+00:00,11,6,259,81
2024-12-22 00:00:00+00:00,8,3,306,92
2024-12-23 00:00:00+00:00,39,8,561,164
2024-12-24 00:00:00+00:00,18,6,403,141
2024-12-25 00:00:00+00:00,4,3,263,107
2024-12-26 00:00:00+00:00,70,3,349,103
2024-12-27 00:00:00+00:00,13,7,342,116
2024-12-28 00:00:00+00:00,37,3,208,71
2024-12-29 00:00:00+00:00,5,2,283,84
2024-12-30 00:00:00+00:00,112,11,493,155
2024-12-31 00:00:00+00:00,21,6,413,99
2025-01-01 00:00:00+00:00,8,4,348,78
2025-01-02 00:00:00+00:00,66,7,556,164
2025-01-03 00:00:00+00:00,24,7,512,145
2025-01-04 00:00:00+00:00,195,6,352,85
2025-01-05 00:00:00+00:00,11,5,275,89
2025-01-06 00:00:00+00:00,207,19,733,174
2025-01-07 00:00:00+00:00,216,7,636,182
2025-01-08 00:00:00+00:00,321,12,938,211
2025-01-09 00:00:00+00:00,474,11,1100,242
2025-01-10 00:00:00+00:00,597,22,905,228
2025-01-11 00:00:00+00:00,422,7,397,102
2025-01-12 00:00:00+00:00,26,8,563,102
2025-01-13 00:00:00+00:00,236,17,1025,246
2025-01-14 00:00:00+00:00,404,15,1200,243
2025-01-15 00:00:00+00:00,235,9,928,221
2025-01-16 00:00:00+00:00,241,10,1052,229
2025-01-17 00:00:00+00:00,119,18,871,229
2025-01-18 00:00:00+00:00,31,11,459,93
2025-01-19 00:00:00+00:00,94,6,353,93
2025-01-20 00:00:00+00:00,150,18,1044,208
2025-01-21 00:00:00+00:00,458,20,1088,218
2025-01-22 00:00:00+00:00,271,11,862,250
2025-01-23 00:00:00+00:00,51,13,968,216
2025-01-24 00:00:00+00:00,350,18,536,188
2025-01-25 00:00:00+00:00,41,7,247,72
2025-01-26 00:00:00+00:00,27,11,338,115
2025-01-27 00:00:00+00:00,250,22,693,194
2025-01-28 00:00:00+00:00,164,19,620,204
2025-01-29 00:00:00+00:00,162,10,757,236
2025-01-30 00:00:00+00:00,59,23,724,220
2025-01-31 00:00:00+00:00,224,35,734,172
2025-02-01 00:00:00+00:00,214,24,416,100
2025-02-02 00:00:00+00:00,130,19,348,90
2025-02-03 00:00:00+00:00,319,43,668,182
2025-02-04 00:00:00+00:00,182,28,769,240
2025-02-05 00:00:00+00:00,481,42,885,254
2025-02-06 00:00:00+00:00,128,21,1006,238
2025-02-07 00:00:00+00:00,484,71,1558,210
2025-02-08 00:00:00+00:00,398,47,467,115
2025-02-09 00:00:00+00:00,744,26,383,107
2025-02-10 00:00:00+00:00,155,29,1190,230
2025-02-11 00:00:00+00:00,204,32,1342,256
2025-02-12 00:00:00+00:00,90,32,1344,260
2025-02-13 00:00:00+00:00,176,63,1056,255
2025-02-14 00:00:00+00:00,772,56,1004,211
2025-02-15 00:00:00+00:00,80,31,398,92
2025-02-16 00:00:00+00:00,39,25,300,98
2025-02-17 00:00:00+00:00,519,47,922,213
2025-02-18 00:00:00+00:00,127,23,1351,267
2025-02-19 00:00:00+00:00,189,30,807,251
2025-02-20 00:00:00+00:00,157,41,916,234
2025-02-21 00:00:00+00:00,391,62,721,204
2025-02-22 00:00:00+00:00,23,15,296,95
2025-02-23 00:00:00+00:00,183,28,271,91
2025-02-24 00:00:00+00:00,311,35,893,241
2025-02-25 00:00:00+00:00,559,61,1006,237
2025-02-26 00:00:00+00:00,570,46,910,242
2025-02-27 00:00:00+00:00,446,40,1255,223
2025-02-28 00:00:00+00:00,533,68,754,207
2025-03-01 00:00:00+00:00,108,35,695,126
2025-03-02 00:00:00+00:00,176,26,375,106
2025-03-03 00:00:00+00:00,341,53,1028,292
2025-03-04 00:00:00+00:00,543,80,1003,251
2025-03-05 00:00:00+00:00,386,49,1049,274
2025-03-06 00:00:00+00:00,541,73,1286,270
2025-03-07 00:00:00+00:00,142,40,874,232
2025-03-08 00:00:00+00:00,22,18,530,84
2025-03-09 00:00:00+00:00,33,28,341,89
2025-03-10 00:00:00+00:00,120,44,2032,246
2025-03-11 00:00:00+00:00,69,20,1162,281
2025-03-12 00:00:00+00:00,61,35,876,236
2025-03-13 00:00:00+00:00,91,30,992,245
2025-03-14 00:00:00+00:00,90,20,640,219
2025-03-15 00:00:00+00:00,78,23,414,119
2025-03-16 00:00:00+00:00,74,29,402,107
2025-03-17 00:00:00+00:00,340,46,977,240
2025-03-18 00:00:00+00:00,128,24,1079,280
2025-03-19 00:00:00+00:00,185,43,946,248
2025-03-20 00:00:00+00:00,362,41,1145,243
2025-03-21 00:00:00+00:00,235,49,847,214
2025-03-22 00:00:00+00:00,307,66,263,97
2025-03-23 00:00:00+00:00,43,18,311,102
2025-03-24 00:00:00+00:00,264,59,1185,255
2025-03-25 00:00:00+00:00,563,157,1085,270
2025-03-26 00:00:00+00:00,407,168,1160,279
2025-03-27 00:00:00+00:00,512,114,1125,242
2025-03-28 00:00:00+00:00,708,113,914,250
2025-03-29 00:00:00+00:00,163,56,428,121
2025-03-30 00:00:00+00:00,56,31,276,85
2025-03-31 00:00:00+00:00,214,58,759,210
2025-04-01 00:00:00+00:00,487,94,955,237
2025-04-02 00:00:00+00:00,421,72,1107,259
2025-04-03 00:00:00+00:00,161,64,1051,241
2025-04-04 00:00:00+00:00,165,47,622,184
2025-04-05 00:00:00+00:00,133,28,382,113
2025-04-06 00:00:00+00:00,66,26,408,104
2025-04-07 00:00:00+00:00,250,55,887,243
